,rf100vl,rfdetr,rfdetr-plus,roboflow,supervision,trackers,ultralytics,inference,inference-gpu,inference-sdk,inference-cli,inference-core,inference-cpu,inference-models
2025-08-26,990,1009,,24614,41951.0,149,245343,4036,24774,4263,21758,47,45.0,
2025-08-27,771,762,,17197,42736.0,86,236991,2845,21463,4578,17994,8,11.0,
2025-08-28,2023,2026,,76302,51734.0,102,227762,3227,19425,3690,14760,62,100.0,
2025-08-29,3717,3814,,190442,80842.0,93,200864,2499,19549,3394,17475,116,93.0,
2025-08-30,468,471,,32697,31364.0,36,157736,1282,13140,2776,10022,16,26.0,
2025-08-31,609,616,,11050,30142.0,28,158378,2251,11854,2713,9136,5,14.0,
2025-09-01,924,945,,23275,39697.0,44,223708,3036,19196,6102,16353,1,2.0,
2025-09-02,1019,976,,19541,45706.0,85,244751,2662,20767,3832,15376,7,5.0,
2025-09-03,1036,961,,19545,42446.0,46,269201,2513,19710,5351,22288,11,2.0,
2025-09-04,1046,1036,,17421,42464.0,66,243031,5695,16590,6599,12992,37,31.0,
2025-09-05,901,998,,14554,36986.0,36,220473,2266,15174,4284,11783,104,120.0,
2025-09-06,554,556,,9358,39565.0,61,162472,1233,15696,2730,12661,33,28.0,
2025-09-07,536,525,,12063,32280.0,19,173352,1470,15799,1945,12580,6,3.0,
2025-09-08,1307,1350,,20461,48090.0,35,270592,3389,17674,5124,13293,3,,
2025-09-09,1205,1342,,31010,37917.0,65,252243,2904,18664,6487,12294,45,4.0,
2025-09-10,1071,1147,,29453,43669.0,54,260571,3420,16650,4127,12311,1,,
2025-09-11,1041,1040,,31796,42456.0,37,229828,1626,28184,5053,23598,2,4.0,
2025-09-12,909,1424,,17743,38709.0,28,226804,2270,40742,3598,36638,41,6.0,
2025-09-13,511,515,,11046,29303.0,29,186923,1447,39893,2350,36393,53,142.0,
2025-09-14,434,426,,10564,30735.0,31,202364,1718,39628,3288,35749,4,205.0,
2025-09-15,1013,1021,,20620,36979.0,40,275850,2869,24395,6330,19208,5,207.0,
